id,L,area,cx,cy
205,56.63318634033203,274,725.1021897810219,454.84671532846716
206,62.38875961303711,470,709.563829787234,699.131914893617
207,55.96452713012695,1070,267.1560747663551,626.411214953271
208,62.75079345703125,380,837.9421052631579,931.8184210526316
209,62.85043716430664,343,500.3206997084548,1056.0903790087464
210,52.44520950317383,639,653.0860719874804,478.54773082942097
213,57.55314636230469,500,690.798,487.382
215,53.257816314697266,658,447.951367781155,1025.40273556231
217,56.4051399230957,842,784.1745843230403,955.0142517814727
218,59.01301193237305,620,526.3612903225807,530.0258064516129
219,55.10103225708008,508,847.0688976377953,464.1968503937008
220,49.86177062988281,1055,620.3592417061611,982.8085308056872
223,56.939674377441406,520,289.6942307692308,1003.3384615384615
224,56.199092864990234,333,828.6996996996997,819.4624624624624
226,63.607181549072266,262,510.4503816793893,932.9961832061068
227,57.422969818115234,293,400.13651877133105,464.67576791808875
231,59.79273986816406,507,616.276134122288,881.67258382643
232,54.65995407104492,494,838.9048582995952,594.2834008097166
235,53.527198791503906,687,562.6360989810771,1107.3609898107716
236,52.95670700073242,674,391.0281899109792,533.3605341246291
239,50.591854095458984,1082,328.22643253234753,613.4889094269871
240,57.43022918701172,419,457.85202863961814,1097.252983293556
242,55.120540618896484,400,864.4025,978.17
243,59.12131118774414,474,794.8628691983122,759.5084388185654
244,54.94786071777344,437,781.7070938215103,500.87185354691076
245,52.48809051513672,723,608.7676348547718,464.8755186721992
246,51.585968017578125,327,255.31804281345566,661.5565749235474
247,59.53095245361328,284,751.3485915492957,825.3169014084507
248,60.31758117675781,360,713.3138888888889,740.5861111111111
249,46.84819793701172,749,346.1882510013351,459.8785046728972
250,55.14659881591797,353,461.21529745042494,823.2407932011331
251,53.225379943847656,593,531.0725126475548,1075.7672849915682
253,53.03251647949219,357,598.2633053221289,965.204481792717
254,54.74222946166992,483,363.58592132505174,704.4327122153209
255,62.06999206542969,262,751.7290076335878,938.2557251908397
259,50.58578872680664,532,811.3045112781955,1088.4567669172932
260,55.79108810424805,481,693.3347193347194,944.6216216216217
261,50.5868034362793,606,257.493399339934,1039.7557755775576
262,54.28034973144531,313,339.93610223642173,695.8019169329074
263,53.234195709228516,495,465.0323232323232,791.3959595959597
265,55.06536102294922,267,353.90262172284645,597.2846441947565
266,56.63761901855469,417,926.4172661870504,552.9304556354916
267,55.96259689331055,313,431.0159744408946,848.8722044728435
269,49.760498046875,961,304.5972944849116,841.8480749219563
272,55.856536865234375,311,452.84565916398714,770.3601286173633
273,50.2159538269043,570,254.12280701754386,1096.1122807017543
274,54.52753829956055,441,314.0816326530612,958.1179138321995
277,61.0800666809082,266,903.2481203007519,753.1165413533835
278,48.560203552246094,538,634.4256505576208,1107.014869888476
279,51.737762451171875,582,278.95704467353954,717.7319587628866
281,50.086910247802734,411,254.14598540145985,825.3576642335767
283,52.91535186767578,270,337.4259259259259,800.2444444444444
285,52.60225296020508,468,906.9059829059829,1050.9551282051282
286,42.1343879699707,1054,689.5882352941177,1104.3074003795066
289,49.21723556518555,421,896.1900237529691,492.6698337292162
290,51.805274963378906,290,753.7931034482758,477.7413793103448
293,51.2147331237793,274,279.7299270072993,800.3357664233577
295,47.006324768066406,844,318.521327014218,750.3495260663507
298,52.43252182006836,265,645.8716981132076,897.9207547169812
299,50.306339263916016,381,892.005249343832,1081.1601049868766
301,51.45155715942383,304,819.5394736842105,487.75657894736844
302,53.40874481201172,258,936.2906976744187,740.9806201550388
304,50.9057731628418,251,909.7450199203187,646.5099601593625
305,47.80909729003906,320,336.690625,841.7
307,47.92448043823242,716,866.0572625698323,553.3770949720671
308,48.8182258605957,411,328.59124087591243,1074.6861313868612
309,50.30478286743164,315,665.6063492063493,931.9174603174603
310,42.07423782348633,488,491.98975409836066,909.5286885245902
314,44.259979248046875,437,742.045766590389,920.3157894736842
317,47.81546401977539,359,279.5292479108635,1045.0362116991644
320,45.86041259765625,317,279.7192429022082,745.8769716088328
321,43.452213287353516,1126,295.9253996447602,678.2753108348135
322,48.6167106628418,325,306.62461538461537,457.60615384615386
323,51.482704162597656,297,928.3905723905724,509.28619528619527
324,46.87363815307617,320,272.31875,520.409375
329,44.200836181640625,366,311.23770491803276,1071.5956284153006
330,41.93445587158203,315,781.936507936508,620.2095238095238
331,45.19895935058594,301,477.01328903654485,1040.3953488372092
334,41.074951171875,1065,289.38122065727697,496.3755868544601
335,40.24132537841797,332,251.92469879518072,797.2951807228916
338,37.44799041748047,510,272.09215686274507,462.66470588235296
